"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights",Tags,Photos,Notes
"Dokument 34","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0079.jpg;0080.jpg",""
"Dokument 35","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0081.jpg",""
"Dokument 36","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0082.jpg",""
"Dokument 37","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0083.jpg;0084.jpg;0085.jpg;0086.jpg",""
"Dokument 38","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0087.jpg;0088.jpg",""
"Dokument 39","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0089.jpg;0090.jpg",""
"Dokument 40","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0091.jpg;0092.jpg",""
"Dokument 41","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0093.jpg;0094.jpg",""
"Dokument 42","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0095.jpg",""
"Dokument 43","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0096.jpg",""
"Dokument 44","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0097.jpg;0098.jpg;0099.jpg",""
"Dokument 45","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0100.jpg",""
"Dokument 46","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0101.jpg;0102.jpg",""
"Dokument 47","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0103.jpg;0104.jpg",""
"Dokument 48","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0105.jpg;0106.jpg;0107.jpg;0108.jpg;0109.jpg;0110.jpg",""
"Dokument 49","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0111.jpg",""
"Dokument 50","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0112.jpg;0113.jpg",""
"Dokument 51","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0114.jpg",""
"Dokument 52","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0115.jpg;0116.jpg;0117.jpg",""
